neighbors_probability,node_on_path,infected
0.6666666666666666,1,False
0.5,0,True
0.25,1,False
0.5,0,False
1.0,0,False
0.6666666666666666,0,True
0.5,0,False
0.6,0,False
1.0,0,True
0.0,0,False
0.5,0,False
1.0,0,False
1.0,0,False
1.0,0,False
0.8,1,False
0.3333333333333333,0,False
0.0,1,False
0.6666666666666666,0,False
0.5,1,True
0.3333333333333333,0,False
0.25,1,False
0.25,0,False
1.0,0,False
0.6,1,True
0.3333333333333333,0,False
0.5,0,False
0.0,0,False
1.0,0,True
0.6666666666666666,0,True
0.5,0,False
1.0,0,False
0.5,0,False
0.3333333333333333,0,False
0.6666666666666666,1,False
0.5,1,False
0.6666666666666666,0,False
0.5,0,False
0.5294117647058824,1,True
0.7,1,True
0.6666666666666666,0,False
1.0,0,True
0.8,1,True
1.0,0,False
0.5,0,False
1.0,0,False
1.0,0,False
1.0,0,True
1.0,0,False
1.0,0,True
0.6,1,False
0.3333333333333333,0,False
0.3333333333333333,1,False
1.0,0,False
0.25,1,False
