neighbors_probability,node_on_path,degree,infected
0.5187319884726225,0.9580383468541254,0.08593363051015354,1
0.5,0.0,0.0024764735017335313,0
0.3,0.0,0.0024764735017335313,1
0.16666666666666666,0.0,0.0014858841010401188,0
0.0,0.0,0.001981178801386825,0
0.0,0.0,0.00024764735017335313,0
0.0,0.0,0.00024764735017335313,0
0.8064516129032258,0.0,0.007677067855373947,1
0.0,0.0,0.00024764735017335313,0
0.0,0.0,0.00024764735017335313,0
0.1875,0.0,0.00396235760277365,0
0.4,0.0,0.003714710252600297,0
0.5454545454545454,0.0,0.0027241208519068845,0
0.5,0.0,0.00396235760277365,0
0.7058823529411765,0.0,0.004210004952947003,1
0.6956521739130435,0.0,0.005695889053987122,1
0.6666666666666666,0.0,0.0014858841010401188,0
0.0,0.0,0.0004952947003467063,0
0.0,0.0,0.0004952947003467063,0
0.0,0.0,0.00024764735017335313,0
0.5555555555555556,0.0,0.002228826151560178,0
0.5416666666666666,0.0,0.005943536404160475,0
0.0,0.0,0.0004952947003467063,0
0.0,0.0,0.00024764735017335313,1
0.3333333333333333,0.0,0.0014858841010401188,0
0.2,0.0,0.0012382367508667657,0
0.0,0.0,0.0004952947003467063,0
0.0,0.0,0.0009905894006934125,0
0.0,0.0,0.0004952947003467063,0
0.6666666666666666,0.0,0.003714710252600297,1
0.5,0.696969696969697,0.0029717682020802376,0
0.7368421052631579,0.0,0.0047052996532937095,1
0.3333333333333333,0.0,0.0007429420505200594,0
0.8333333333333334,0.0,0.0014858841010401188,0
0.5,0.0,0.0004952947003467063,0
0.3333333333333333,0.0,0.0007429420505200594,0
0.7,0.0,0.0024764735017335313,1
0.0,0.0,0.00024764735017335313,0
0.7857142857142857,0.0,0.003467062902426944,1
0.6666666666666666,0.0,0.0007429420505200594,0
0.3333333333333333,0.0,0.002228826151560178,0
0.6956521739130435,0.0,0.005695889053987122,1
0.3333333333333333,0.0,0.0007429420505200594,0
0.8823529411764706,0.0,0.008420009905894007,1
0.7857142857142857,0.0,0.003467062902426944,1
0.125,0.0,0.001981178801386825,0
0.0,0.0,0.0004952947003467063,0
0.0,0.0,0.001981178801386825,0
0.7777777777777778,0.0,0.002228826151560178,0
0.7755102040816326,0.0,0.012134720158494303,1
0.38461538461538464,0.0,0.0032194155522535907,1
0.0,0.0,0.0014858841010401188,0
0.9285714285714286,0.0,0.003467062902426944,1
0.875,0.0,0.001981178801386825,0
0.7567567567567568,0.0,0.009162951956414065,1
0.0,0.0,0.0012382367508667657,0
0.5714285714285714,0.0,0.003467062902426944,0
0.0,0.0,0.0007429420505200594,0
0.775,0.0,0.009905894006934125,1
0.47619047619047616,0.0,0.005200594353640416,0
0.5882352941176471,0.0,0.004210004952947003,1
0.5,0.0,0.0014858841010401188,0
0.5,0.0,0.0009905894006934125,0
0.7777777777777778,0.0,0.015601783060921248,1
0.75,0.0,0.0009905894006934125,1
0.75,0.0,0.0009905894006934125,0
0.7142857142857143,0.0,0.001733531451213472,0
0.8214285714285714,0.0,0.006934125804853888,1
0.42857142857142855,0.0,0.001733531451213472,0
0.5625,0.0,0.00396235760277365,1
0.7368421052631579,0.0,0.0047052996532937095,1
0.6,0.0,0.0024764735017335313,0
0.0,0.0,0.0004952947003467063,0
0.5555555555555556,0.0,0.002228826151560178,0
0.5454545454545454,0.0,0.0027241208519068845,1
0.3333333333333333,0.0,0.0029717682020802376,0
0.0,0.0,0.0004952947003467063,0
0.16666666666666666,0.0,0.0014858841010401188,0
0.7142857142857143,0.0,0.001733531451213472,1
0.0,0.0,0.0012382367508667657,0
0.5,0.0,0.0004952947003467063,0
0.0,0.0,0.0004952947003467063,0
0.6666666666666666,0.0,0.0007429420505200594,0
0.6666666666666666,0.0,0.0029717682020802376,1
0.7857142857142857,0.0,0.003467062902426944,0
0.5,0.0,0.001981178801386825,0
0.75,0.0,0.0009905894006934125,0
0.5714285714285714,0.0,0.001733531451213472,0
0.5454545454545454,0.5454545454545454,0.005448241703813769,1
0.0,0.0,0.0009905894006934125,0
0.35294117647058826,0.0,0.004210004952947003,0
0.45454545454545453,0.0,0.0027241208519068845,0
0.5384615384615384,0.0,0.0032194155522535907,0
0.0,0.0,0.0007429420505200594,0
0.6,0.0,0.004952947003467063,1
0.3,0.0,0.0024764735017335313,0
0.6666666666666666,0.0,0.0007429420505200594,0
0.5,0.0,0.0004952947003467063,0
0.8461538461538461,0.0,0.0064388311045071814,1
0.75,0.0,0.010896483407627538,1
0.5625,0.0,0.00396235760277365,1
0.7142857142857143,0.0,0.001733531451213472,1
0.5,0.0,0.0009905894006934125,0
0.6666666666666666,0.0,0.0007429420505200594,0
0.2,0.0,0.0012382367508667657,0
0.0,0.0,0.0012382367508667657,0
0.6923076923076923,0.0,0.0032194155522535907,1
0.0,0.0,0.0009905894006934125,0
0.5,0.0,0.0009905894006934125,0
0.0,0.0,0.00024764735017335313,1
0.0,0.0,0.00024764735017335313,0
0.4117647058823529,0.0,0.004210004952947003,1
0.0,0.0,0.0004952947003467063,0
